id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,basement,showers,electricity,school_1mi
0,20141013T000000,221900.0,3.0,1.0,1180.0,5650,1.0,0.0,0.0,?,7.0,1180.0,?,1955.0,0.0,98178.0,47.5112,-122.257,1340.0,5650.0,0.0,1.0,1.0,1.0
1,20141209T000000,538000.0,3.0,2.25,2570.0,7242,2.0,0.0,0.0,3.0,7.0,2170.0,400,1951.0,1991.0,98125.0,47.721000000000004,-122.319,1690.0,7639.0,1.0,2.0,1.0,1.0
2,20150225T000000,180000.0,2.0,1.0,770.0,10000,1.0,0.0,0.0,3.0,6.0,770.0,?,1933.0,0.0,98028.0,47.7379,-122.23299999999999,2720.0,8062.0,0.0,1.0,1.0,1.0
3,20141209T000000,604000.0,4.0,3.0,1960.0,5000,1.0,0.0,0.0,5.0,7.0,1050.0,910,1965.0,0.0,98136.0,47.5208,-122.39299999999999,1360.0,5000.0,1.0,3.0,1.0,?
4,20150218T000000,510000.0,3.0,2.0,1680.0,8080,1.0,0.0,0.0,?,8.0,1680.0,?,1987.0,0.0,98074.0,47.6168,-122.045,1800.0,7503.0,0.0,2.0,1.0,1.0
5,20140512T000000,1225000.0,4.0,4.5,5420.0,101930,1.0,0.0,0.0,3.0,11.0,3890.0,1530,2001.0,0.0,98053.0,47.6561,-122.005,4760.0,101930.0,1.0,5.0,1.0,1.0
6,20140627T000000,257500.0,3.0,2.25,1715.0,6819,2.0,0.0,0.0,3.0,7.0,1715.0,?,1995.0,0.0,98003.0,47.3097,-122.32700000000001,2238.0,6819.0,0.0,2.0,1.0,1.0
7,20150115T000000,291850.0,3.0,1.5,1060.0,9711,1.0,0.0,0.0,?,7.0,1060.0,?,1963.0,0.0,98198.0,47.4095,-122.315,1650.0,9711.0,0.0,2.0,1.0,?
8,20150415T000000,229500.0,3.0,1.0,1780.0,7470,1.0,0.0,0.0,3.0,7.0,1050.0,730,1960.0,0.0,98146.0,47.5123,-122.337,1780.0,8113.0,1.0,1.0,1.0,1.0
9,20150312T000000,323000.0,3.0,2.5,1890.0,6560,2.0,0.0,0.0,3.0,7.0,1890.0,?,2003.0,0.0,98038.0,47.3684,-122.031,2390.0,7570.0,0.0,3.0,1.0,1.0
10,20150403T000000,662500.0,3.0,2.5,3560.0,9796,1.0,0.0,0.0,?,8.0,1860.0,1700,1965.0,0.0,98007.0,47.6007,-122.145,2210.0,8925.0,1.0,2.0,1.0,?
11,20140527T000000,468000.0,2.0,1.0,1160.0,6000,1.0,0.0,0.0,4.0,7.0,860.0,300,1942.0,0.0,98115.0,47.69,-122.292,1330.0,6000.0,1.0,1.0,1.0,1.0
12,20140528T000000,310000.0,3.0,1.0,1430.0,19901,1.5,0.0,0.0,4.0,7.0,1430.0,?,1927.0,0.0,98028.0,47.7558,-122.229,1780.0,12697.0,0.0,1.0,1.0,1.0
13,20141007T000000,400000.0,3.0,1.75,1370.0,9680,1.0,0.0,0.0,4.0,7.0,1370.0,?,1977.0,0.0,98074.0,47.6127,-122.045,1370.0,10208.0,0.0,2.0,1.0,1.0
14,20150312T000000,530000.0,5.0,2.0,1810.0,4850,1.5,0.0,0.0,3.0,7.0,1810.0,?,1900.0,0.0,98107.0,47.67,-122.39399999999999,1360.0,4850.0,0.0,2.0,1.0,1.0
15,20150124T000000,650000.0,4.0,3.0,2950.0,5000,2.0,0.0,3.0,3.0,9.0,1980.0,970,1979.0,0.0,98126.0,47.5714,-122.375,2140.0,4000.0,1.0,3.0,1.0,1.0
16,20140731T000000,395000.0,3.0,2.0,1890.0,14040,2.0,0.0,0.0,3.0,7.0,1890.0,?,1994.0,0.0,98019.0,47.7277,-121.962,1890.0,14018.0,0.0,2.0,1.0,1.0
17,20140529T000000,485000.0,4.0,1.0,1600.0,4300,1.5,0.0,0.0,4.0,7.0,1600.0,?,1916.0,0.0,98103.0,47.6648,-122.34299999999999,1610.0,4300.0,0.0,1.0,1.0,1.0
18,20141205T000000,189000.0,2.0,1.0,1200.0,9850,1.0,0.0,0.0,4.0,7.0,1200.0,?,1921.0,0.0,98002.0,47.3089,-122.21,1060.0,5095.0,0.0,1.0,1.0,1.0
19,20150424T000000,230000.0,3.0,1.0,1250.0,9774,1.0,0.0,0.0,4.0,7.0,1250.0,?,1969.0,0.0,98003.0,47.3343,-122.306,1280.0,8850.0,0.0,1.0,1.0,1.0
20,20140514T000000,385000.0,4.0,1.75,1620.0,4980,1.0,0.0,0.0,4.0,7.0,860.0,760,1947.0,0.0,98133.0,47.7025,-122.34100000000001,1400.0,4980.0,1.0,2.0,1.0,1.0
21,20140826T000000,2000000.0,3.0,2.75,3050.0,44867,1.0,0.0,4.0,3.0,9.0,2330.0,720,1968.0,0.0,98040.0,47.5316,-122.23299999999999,4110.0,20336.0,1.0,3.0,1.0,1.0
22,20140703T000000,285000.0,5.0,2.5,2270.0,6300,2.0,0.0,0.0,?,8.0,2270.0,?,1995.0,0.0,98092.0,47.3266,-122.169,2240.0,7005.0,0.0,2.0,1.0,?
23,20140516T000000,252700.0,2.0,1.5,1070.0,9643,1.0,0.0,0.0,?,7.0,1070.0,?,1985.0,0.0,98030.0,47.3533,-122.166,1220.0,8386.0,0.0,1.0,1.0,1.0
24,20141120T000000,329000.0,3.0,2.25,2450.0,6500,2.0,0.0,0.0,4.0,8.0,2450.0,?,1985.0,0.0,98030.0,47.3739,-122.17200000000001,2200.0,6865.0,0.0,2.0,1.0,1.0
25,20141103T000000,233000.0,3.0,2.0,1710.0,4697,1.5,0.0,0.0,5.0,6.0,1710.0,?,1941.0,0.0,98002.0,47.3048,-122.21799999999999,1030.0,4705.0,0.0,2.0,1.0,?
26,20140626T000000,937000.0,3.0,1.75,2450.0,2691,2.0,0.0,0.0,3.0,8.0,1750.0,700,1915.0,0.0,98119.0,47.6386,-122.36,1760.0,3573.0,1.0,2.0,1.0,1.0
27,20141201T000000,667000.0,3.0,1.0,1400.0,1581,1.5,0.0,0.0,5.0,8.0,1400.0,?,1909.0,0.0,98112.0,47.6221,-122.314,1860.0,3861.0,0.0,1.0,1.0,1.0
28,20140624T000000,438000.0,3.0,1.75,1520.0,6380,1.0,0.0,0.0,3.0,7.0,790.0,730,1948.0,0.0,98115.0,47.695,-122.304,1520.0,6235.0,1.0,2.0,1.0,?
